Meridian,Point Code,Point Name (pinyin),Chinese Name (hanzi),Location Description,Indications,Category,Element,Sex-specific Notes,Source
BL,BL52,Zhishi,志室,"In the lumbar region, at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2), 3 B-cun lateral to the posterior median line. at the same level as the inferior border of the spinous process of the second lumbar vertebra (L2).BL51 BL52 Bladder Meridian 126",,,Water,,
BL,BL53,Baohuang,胞(胞)肓,"In the buttock region, at the same level as the second posterior sacral foramen, 3 B-cun lateral to the median sacral crest. at the same level as the second posterior sacral foramen.",,,Water,,
BL,BL54,Zhibian,"秩邊(边,辺)","In the buttock region, at the same level as the fourth posterior sacral foramen, 3 B-cun lateral to the median sacral crest. the same level as BL 30.BL53 BL54second posteriorsacralforamen sacralhiatusfourth posteriorsacral foramen WHO Standard aCUPUnCtUrE POInt LOCat IOnS 127",,,Water,,
BL,BL55,Heyang,合陽(阳),"On the posterior aspect of the leg, between the lateral head and medial head of the gastrocnemius muscle, 2 B-cun distal to the popliteal crease. connecting BL40 with BL57.",,,Water,,
BL,BL56,Chengjin,承筋,"On the posterior aspect of the leg, between the two muscle bellies of the gastrocne-mius muscle, 5 B-cun distal to the popliteal crease. BL56popliteal crease lateral head of the gastrocnemius muscle medial head of thegastrocnemius muscle gastrocnemius muscle Bladder Meridian 128",,,Water,,
BL,BL57,Chengshan,承山,"On the posterior aspect of the leg, at the connecting point of the calcaneal tendon with the two muscle bellies of the gastroc-nemius muscle. flexion) or the heel up, BL57 is located at the sharp angled depression inferior to the muscle belly of the gastrocnemius muscle. the two heads of the gastrocnemius muscle are separated to make a lambda shape (Λ).",,,Water,,
BL,BL58,Feiyang,飛(飞)揚(扬),"On the posterolateral aspect of the leg, between the inferior border of the lateral head of the gastrocnemius muscle and the calcaneal tendon, at the same level as 7 B-cun proximal to BL60. distal to BL57, proximal to BL60.BL57 BL58gastrocnemius muscle calcaneal tendon gastrocnemius muscle calcaneal tendon WHO Standard aCUPUnCtUrE POInt LOCat IOnS 129",,Luo,Water,,
BL,BL59,Fuyang,跗陽(阳),"On the posterolateral aspect of the leg, be- tween the fibula and the calcaneal tendon, at the same level as 3 B-cun proximal to BL60.",,,Water,,
BL,BL60,Kunlun,"崑(昆)崙(侖,仑)","On the posterolateral aspect of the ankle, in the depression between the prominence of the lateral malleolus and the calcaneal tendon.BL59 BL60calcaneal tendon ﬁbula calcaneal tendonprominence of the lateral malleolus Bladder Meridian 130",,,Water,,
BL,BL61,Pucan (Pushen),僕(仆)參(参),"On the lateral aspect of the foot, distal to BL60, lateral to the calcaneus, at the border between the red and white flesh.",,,Water,,
BL,BL62,Shenmai,申脈(脉),"On the lateral aspect of the foot, directly inferior to the prominence of the lateral malleolus, in the depression between the inferior border of the lateral malleolus and the calcaneus. distal to the inferior border of the lateral malleolus. the corresponding medial acu-puncture point to BL 62 is KI6. BL61 BL62calcaneusborder between red and white ﬂesh calcaneusprominence of thelateral malleolus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 131",,,Water,,
BL,BL63,Jinmen,金門(门),"On the dorsum of the foot, distal to the anterior border of the lateral malleolus, posterior to the tuberosity of the fifth meta - tarsal bone, in the depression inferior to the cuboid bone.",,Xi-Cleft,Water,,
BL,BL64,Jinggu,京骨(骨),"On the lateral aspect of the foot, distal to the tuberosity of the fifth metatarsal bone, at the border between the red and white flesh. bone is located approximately midway be-tween the heel and the fifth metatarsopha - langeal joint.  BL63 BL64cuboid bone ﬁfth metatarsal bonetuberosity of theﬁfth metatarsal bone tuberosity of theﬁfth metatarsal boneborder betweenred and white ﬂesh Bladder Meridian 132",,,Water,,
BL,BL65,Shugu,束骨(骨),"On the lateral aspect of the foot, in the depression proximal to the fifth metatar - sophalangeal joint, at the border between the red and white flesh.",,,Water,,
BL,BL66,Zutonggu,足通(通)谷,"On the little toe, in the depression distal and lateral to the fifth metatarsophalangeal joint, at the border between the red and white flesh. BL65 BL66border between red and white ﬂeshﬁfth metatarsophalangealjoint border betweenred and white ﬂeshﬁfth metatarsophalangealjoint WHO Standard aCUPUnCtUrE POInt LOCat IOnS 133",,,Water,,
BL,BL67,Zhiyin,至陰(阴),"On the little toe, lateral to the distal pha- lanx, 0.1 f-cun proximal to the lateral corner of the toenail; at the intersection of the vertical line of the lateral side of the nail and the horizontal line of the base of the toenail. BL67 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 135 KIDNEY MERIDIAN 足少陰(阴)腎(肾)經(经,経) Kidney Meridian 136",,,Water,,
KI,KI1,Yongquan,湧(涌)泉,"On the sole of the foot, in the deepest depression of the sole when the toes are flexed. located approximately in the depression at the junction of the anterior one third and the posterior two thirds of the line connect-ing the heel with the web margin between the bases of the second and third toes.",,,Water,,
KI,KI2,Rangu,然谷,"On the medial aspect of the foot, inferior to the tuberosity of the navicular bone, at the border between the red and white flesh. KI1 KI2border between red and white ﬂeshtuberosity of the navicular bone WHO Standard aCUPUnCtUrE POInt LOCat IOnS 137",,,Water,,
KI,KI3,Taixi,太谿(溪),"On the posteromedial aspect of the ankle, in the depression between the prominence of the medial malleolus and the calcaneal tendon.",,Source,Water,,
KI,KI4,Dazhong,大鍾(钟),"On the medial aspect of the foot, postero- inferior to the medial malleolus, superior to the calcaneus, in the depression anterior to the medial attachment of the calcaneal tendon.KI3 KI4prominence of the medial malleoluscalcaneal tendon calcaneal tendon medial malleolus calcaneus Kidney Meridian 138",,Luo,Water,,
KI,KI5,Shuiquan,水泉,"On the medial aspect of the foot, 1 B-cun inferior to KI3, in the depression anterior to the calcaneal tuberosity.",,Xi-Cleft,Water,,
KI,KI6,Zhaohai,照海(海),"On the medial aspect of the foot, 1 B-cun inferior to the prominence of the medial malleolus, in the depression inferior to the medial malleolus. KI6 is BL62.KI5 KI6calcaneal tuberosity medial malleolus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 139",,,Water,,
KI,KI7,Fuliu,復(复)溜,"On the posteromedial aspect of the leg, anterior to the calcaneal tendon, 2 B-cun superior to the prominence of the medial malleolus. KI8.",,,Water,,
KI,KI8,Jiaoxin,交信,"On the medial aspect of the leg, in the depression posterior to the medial border of the tibial bone, 2 B-cun superior to the prominence of the medial malleolus. KI8medial malleolus calcaneal tendon medial malleolustibia Kidney Meridian 140",,,Water,,
KI,KI9,Zhubin,築(筑)賓(宾),"On the posteromedial aspect of the leg, be- tween the soleus muscle and the calcaneal tendon, 5 B-cun superior to the prominence of the medial malleolus. stretched (plantar flexion) against resis - tance, the soleus muscle can be seen more clearly along the medial border of the tibia bone. line connecting KI3 with KI10.",,,Water,,
KI,KI10,Yingu,陰(阴)谷,"On the posteromedial aspect of the knee, just lateral to the semitendinosus tendon, in the popliteal crease. KI9 KI10medial malleolustibia calcaneal tendonsoleus muscle semitendinosus tendon WHO Standard aCUPUnCtUrE POInt LOCat IOnS 141",,,Water,,
KI,KI11,Henggu,橫骨(骨),"On the lower abdomen, 5 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI12,Dahe,大赫,"On the lower abdomen, 4 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line. KI11 KI12 Kidney Meridian 142",,,Water,,
KI,KI13,Qixue,"氣(气,気)穴","On the lower abdomen, 3 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI14,Siman,"四滿(满,満)","On the lower abdomen, 2 B-cun inferior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line. KI13 KI14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 143",,,Water,,
KI,KI15,Zhongzhu,中注,"On the lower abdomen, 1 B-cun inferior to umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI16,Huangshu,肓兪(俞),"On the upper abdomen, 0.5 B-cun lateral to the centre of the umbilicus. KI15 KI16 Kidney Meridian 144",,,Water,,
KI,KI17,Shangqu,商曲,"On the upper abdomen, 2 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI18,Shiguan,"石關(关,関)","On the upper abdomen, 3 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line. KI17 KI18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 145",,,Water,,
KI,KI19,Yindu,陰(阴)都(都),"On the upper abdomen, 4 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI20,Futonggu,腹通(通)谷,"On the upper abdomen, 5 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line. KI19 KI20 Kidney Meridian 146",,,Water,,
KI,KI21,Youmen,幽門(门),"On the upper abdomen, 6 B-cun superior to the centre of the umbilicus, 0.5 B-cun lateral to the anterior median line.",,,Water,,
KI,KI22,Bulang,步(歩)廊,"In the anterior thoracic region, in the fifth intercostal space, 2 B-cun lateral to the anterior median line.KI21 KI22 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 147",,,Water,,
KI,KI23,Shenfeng,神(神)封,"In the anterior thoracic region, in the fourth intercostal space, 2 B-cun lateral to the anterior median line.",,,Water,,
KI,KI24,Lingxu,"靈(灵,霊)墟(墟)","In the anterior thoracic region, in the third intercostal space, 2 B-cun lateral to the anterior median line. KI23 KI24 Kidney Meridian 148",,,Water,,
KI,KI25,Shencang,神(神)藏(蔵),"In the anterior thoracic region, in the sec- ond intercostal space, 2 B-cun lateral to the anterior median line.",,,Water,,
KI,KI26,Yuzhong,彧中,"In the anterior thoracic region, in the first intercostal space, 2 B-cun lateral to the anterior median line. KI25 KI26 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 149",,,Water,,
KI,KI27,Shufu,兪(俞)府,"In the anterior thoracic region, just inferior to the clavicle, 2 B-cun lateral to the ante-rior median line. KI27 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 151 PErICardIUM MErIdIan 手厥陰(阴)心包(包)經(经,経) Pericardium Meridian 152",,,Water,,
PC,PC1,Tianchi,天池,"In the anterior thoracic region, in the fourth intercostal space, 5 B-cun lateral to the anterior median line.",,,Fire,,
PC,PC2,Tianquan,天泉,"On the anterior aspect of the arm, between the long head and short head of the biceps brachii muscle, 2 B-cun distal to the ante-rior axillary fold. PC1 PC2anterior axillary fold biceps brachii muscle WHO Standard aCUPUnCtUrE POInt LOCat IOnS 153",,,Fire,,
PC,PC3,Quze,"曲澤(泽,沢)","On the anterior aspect of the elbow, at the cubital crease, in the depression medial to the biceps brachii tendon. grees, PC3 is located medial to the biceps brachii tendon.",,,Fire,,
PC,PC4,Ximen,郄門(门),"On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 5 B-cun proxi - mal to the palmar wrist crease. pinated, and the elbow slightly flexed, the two tendons become more prominent. PC4 is located 1 B-cun distal to the midpoint of the line connecting PC3 with PC7. present, PC4 is medial to the flexor carpi radialis tendon.PC3 PC4cubital creasebiceps brachii tendon ﬂexor carpi radialis tendon palmaris longus tendon palmar wristcrease Pericardium Meridian 154",,,Fire,,
PC,PC5,Jianshi,間(间)使,"On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 3 B-cun proxi - mal to the palmar wrist crease. supinated and the elbow slightly flexed, the two tendons become more prominent. PC5 is located 3 B-cun proximal to PC7. present, PC5 is medial to the flexor carpi radialis tendon.",,,Fire,,
PC,PC6,Neiguan,"內關(关,関)","On the anterior aspect of the forearm, between the tendons of the palmaris longus and the flexor carpi radialis, 2 B-cun proxi - mal to the palmar wrist crease. supinated and the elbow slightly flexed, the two tendons become more prominent. PC6 is located 2 B-cun proximal to PC7. the posterial point corresponding to PC6 is TE5. present, PC6 is medial to the flexor carpi radialis tendon.PC5 PC6ﬂexor carpi radialis tendon palmaris longus tendon palmar wristcrease palmar wristcreaseﬂexor carpi radialis tendon palmaris longus tendon WHO Standard aCUPUnCtUrE POInt LOCat IOnS 155",,,Fire,,
PC,PC7,Daling,大陵,"On the anterior aspect of the wrist, between the tendons of palmaris longus and the flexor carpi radialis, on the palmar wrist crease. slightly flexed, the two tendons become more prominent. PC7 is located at the midpoint of the palmar wrist crease, be-tween the tendons of palmaris longus and the flexor carpi radialis, at the same level as Ht7, at the proximal extremity of the pisiform bone.",,,Fire,,
PC,PC8,Laogong,"勞(劳,労)宮(宫)","On the palm of the hand, in the depression between the second and third metacarpal bones, proximal to the metacarpophalan-geal joints. Remarks: Alternative location for PC8 - On the palm of the hand, in the depression, between the third and fourth metacarpal bones, proximal to the metacarpophalan-geal joints. PC7 PC8pisiform bone metacarpal bone metacarpophalangeal jointﬂexor carpi radialis tendon palmaris longus tendon Pericardium Meridian 156",,,Fire,,
PC,PC9,Zhongchong,中衝(冲),"On the middle finger, at the centre of the tip of the middle finger. Remarks: Alternative location for PC9 - On the middle finger, 0.1 F-cun proximal to the radial corner of the middle fingernail, at the intersection of the vertical line of the radial side of the nail and the horizontal line of the base of the fingernail. PC9 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 157 TRIPLE ENERGIZER MERIDIAN 手少陽(阳)三焦經(经,経) triple Energizer Meridian 158",,,Fire,,
TE,TE1,Guanchong,"關(关,関)衝(冲)","On the ring finger, ulnar to the distal phalanx, 0.1 f-cun proximal to the ulnar corner of the fingernail, at the intersection of the vertical line of the ulnar side of the nail and the horizontal line of the base of the fingernail.",,,Fire,,
TE,TE2,Yemen,液門(门),"On the dorsum of the hand, in the depres- sion superior to the web margin between the ring and little fingers, at the border between the red and white flesh.TE1 TE2distal phalanx border between red and white ﬂesh WHO Standard aCUPUnCtUrE POInt LOCat IOnS 159",,,Fire,,
TE,TE3,Zhongzhu,中渚(渚),"On the dorsum of the hand, between the fourth and fifth metacarpal bones, in the depression proximal to the fourth metacar-pophalangeal joint.",,,Fire,,
TE,TE4,Yangchi,陽(阳)池,"On the posterior aspect of the wrist, in the depression ulnar to the extensor digitorum tendon, on the dorsal wrist crease. proximally along the gap between the fifth and fourth metacarpal bones, at the same level as LI5 and SI5. resistance, the extensor digitorum tendon can be palpated more easily.  TE3 TE4metacarpal bone metacarpophalangealjoint extenser digitorumtendon dorsal wrist crease triple Energizer Meridian 160",,Source,Fire,,
TE,TE5,Waiguan,"外關(关,関)","On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 2 B-cun proximal to the dorsal wrist crease. depression between the radius and the ulna. The anterior point corresponding to TE5 is PC6.",,Luo,Fire,,
TE,TE6,Zhigou,支溝(沟),"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 3 B-cun proximal to the dorsal wrist crease. the radius and the ulna, at the same level as tE7.  TE5 TE6ulna radius dorsal wrist crease interosseousspace dorsal wristcreaseradius ulna WHO Standard aCUPUnCtUrE POInt LOCat IOnS 161",,,Fire,,
TE,TE7,Huizong,會(会)宗,"On the posterior aspect of the forearm, just radial to the ulna, 3 B-cun proximal to the dorsal wrist crease.",,Xi-Cleft,Fire,,
TE,TE8,Sanyangluo,三陽(阳)絡(络),"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 4 B-cun proximal to the dorsal wrist crease. thirds and lower one third of the line con-necting tE4 with the tip of the elbow.TE7 TE8dorsal wrist creaseradius ulna dorsal wristcreaseradius ulnainterosseousspaceprominenceof the olecranon triple Energizer Meridian 162",,,Fire,,
TE,TE9,Sidu,四瀆(渎),"On the posterior aspect of the forearm, midpoint of the interosseous space between the radius and the ulna, 5 B-cun distal to the prominence of the olecranon.",,,Fire,,
TE,TE10,Tianjing,天井,"On the posterior aspect of the elbow, in the depression 1 B-cun proximal to the promi-nence of the olecranon. located in the olecranon fossa.TE9 TE10prominence of the olecranon ulnaradiusinterosseousspace olecranon fossa WHO Standard aCUPUnCtUrE POInt LOCat IOnS 163",,,Fire,,
TE,TE11,Qinglengyuan,淸(清)冷(令)淵,"On the posterior aspect of the arm, on the line connecting the prominence of ole-cranon with the acromial angle, 2 B-cun proximal to the prominence of the olecra-non. superior to the prominence of the olecra-non.",,,Fire,,
TE,TE12,Xiaoluo,消濼(泺),"On the posterior aspect of the arm, on the line connecting the prominence of the olecranon with the acromial angle, 5 B-cun proximal to the prominence of the olecra-non. TE11 TE12(渊) acromial angle olecranon acromial angle prominence of the olecranon triple Energizer Meridian 164",,,Fire,,
TE,TE13,Naohui,臑會(会),"On the posterior aspect of the arm, postero- inferior to the border of the deltoid muscle, 3 B-cun inferior to the acromial angle.",,,Fire,,
TE,TE14,Jianliao,肩髎(髎),"On the shoulder girdle, in the depression between the acromial angle and the greater tubercle of the humerus. arm is abducted, two depressions appear respectively anterior and posterior to the acromion. LI15 is located in the anterior one, deeper than the posterior one, in which tE14 is located. TE13 TE14acromial angledeltoid muscle acromial angleacromial angle humerusgreater tubercle of the humerus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 165",,,Fire,,
TE,TE15,Tianliao,天髎(髎),"In the scapular region, in the depression su- perior to the superior angle of the scapula. side of trunk in a seated position, TE15 is located midway between gB21 and SI13.",,,Fire,,
TE,TE16,Tianyou,天牖,"In the anterior region of the neck, at the same level as the angle of the mandible, in the depression posterior to the sterno-cleidomastoid muscle.TE15 TE16acromial angle scapulasuperior angle of the scapula angle of themandible sternocleidomastoidmuscle triple Energizer Meridian 166",,,Fire,,
TE,TE17,Yifeng,翳風(风),"In the anterior region of the neck, posterior to the ear lobe, in the depression anterior to the inferior end of the mastoid process.",,,Fire,,
TE,TE18,Chimai (Qimai),瘈脈(脉),"On the head, at the centre of the mastoid process, at the junction of the upper two thirds and lower one third of the curved line from tE17 to tE20.TE17 TE18ear lobemastoid process auricular apex WHO Standard aCUPUnCtUrE POInt LOCat IOnS 167",,,Fire,,
TE,TE19,Luxi,顱(颅)息,"On the head, at the junction of the up- per one third and lower two thirds of the curved line from tE17 to tE20.",,,Fire,,
TE,TE20,Jiaosun,角孫(孙),"On the head, just superior to the auricular apex. and pressed against the head, the point is located where the auricular apex touches the head.TE19 TE20auricular apex triple Energizer Meridian 168",,,Fire,,
TE,TE21,Ermen,耳門(门),"On the face, in the depression between the supratragic notch and the condylar process of the mandible. tE21 is located in the depression anterior to the supratragic notch, directly superior to SI19.",,,Fire,,
TE,TE22,Erheliao,耳和髎(髎),"On the head, posterior to the temple hair- line, anterior to the auricular root, posterior to the superficial temporal artery.TE21 TE22condylar process of the mandiblesupratragic notch auricular rootsuperﬁcialtemporal artery WHO Standard aCUPUnCtUrE POInt LOCat IOnS 169",,,Fire,,
TE,TE23,Sizhukong,絲(丝)竹空,"On the head, in the depression at the lateral end of the eyebrow. TE23 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 171 gaLLBLaddEr MErIdIan 足少陽(阳)膽(胆)經(经,経) gallbladder Meridian 172",,,Fire,,
GB,GB1,Tongziliao,瞳子髎(髎),"On the head, in the depression, 0.5 B-cun lateral to the outer canthus of the eye.",,,Wood,,
GB,GB2,Tinghui,"聽(听,聴)會(会)","On the face, in the depression between the intertragic notch and the condylar process of the mandible. located in the depression anterior to the intertragic notch.GB1 GB2condylar process of the mandible WHO Standard aCUPUnCtUrE POInt LOCat IOnS 173",,,Wood,,
GB,GB3,Shangguan,"上關(关,関)","On the head, in the depression superior to the midpoint of the zygomatic arch zygomatic arch, superior to St7.",,,Wood,,
GB,GB4,Hanyan,頷(颔)厭(厌),"On the head, at the junction of the upper one fourth and lower three fourths of the curved line from St8 to gB7.GB3 GB4zygomatic arch gallbladder Meridian 174",,,Wood,,
GB,GB5,Xuanlu,懸(悬)顱(颅),"On the head, at the midpoint of the curved line from St8 to gB7.",,,Wood,,
GB,GB6,Xuanli,懸(悬)釐(厘),"On the head, at the junction of the upper three fourths and lower one fourth of the curved line from St8 to gB7.GB5 GB6 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 175",,,Wood,,
GB,GB7,Qubin,曲鬢(鬓),"On the head, at the junction of the vertical line of the posterior border of the temple hairline and the horizontal line of the apex of the auricle.",,,Wood,,
GB,GB8,Shuaigu,率谷,"On the head, directly superior to the auricu- lar apex, 1.5 B-cun superior to the temporal hairline. the hairline, it is easier to palpate the point while the subject is chewing.GB7 GB8apex of theauricle templehairline auricular apex gallbladder Meridian 176",,,Wood,,
GB,GB9,Tianchong,天衝(冲),"On the head, directly superior to the pos- terior border of the auricular root, 2 B-cun superior to the hairline.",,,Wood,,
GB,GB10,Fubai     (,浮)白,"On the head, posterosuperior to the mastoid process, at the junction of the upper one third and lower two thirds of the curved line from gB9 to gB12. cun superior to the hairline.GB9 GB10 auricular root mastoid process WHO Standard aCUPUnCtUrE POInt LOCat IOnS 177",,,Wood,,
GB,GB11,Touqiaoyin,頭(头)竅(窍)陰(阴),"On the head, posterior and superior to the mastoid process, at the junction of the up-per two thirds and lower one third of the curved line from gB 9 to gB12.",,,Wood,,
GB,GB12,Wangu,完骨(骨),"In the anterior region of the neck, in the depression posteroinferior to the mastoid process.GB11 GB12mastoid process mastoid process gallbladder Meridian 178",,,Wood,,
GB,GB13,Benshen,本神(神),"On the head, 0.5 B-cun superior to the an - terior hairline, 3 B-cun lateral to the ante- rior median line. dial two thirds and lateral one third of the curved line from gV24 to St8.",,,Wood,,
GB,GB14,Yangbai,陽(阳)白,"On the head, 1 B-cun superior to the eye- brow, directly superior to the centre of the pupil. GB13 GB14 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 179",,,Wood,,
GB,GB15,Toulinqi,頭(头)臨(临)泣,"On the head, 0.5 B-cun within the anterior hairline, directly superior to the centre of the pupil. is superior to the centre of the pupil, at the midpoint of the curved line from gV24 to St8.",,,Wood,,
GB,GB16,Muchuang,目窗(窓),"On the head, 1.5 B-cun within the anterior hairline, directly superior to the centre of the pupil. GB16 gallbladder Meridian 180",,,Wood,,
GB,GB17,Zhengying,"正營(营,営)","On the head, 2.5 B-cun within the anterior hairline, directly superior to the centre of the pupil.",,,Wood,,
GB,GB18,Chengling,"承靈(灵,霊)","On the head, 4 B-cun within the anterior hairline, directly superior to the centre of the pupil. gB17, at the same level as BL7. GB17 GB18 WHO Standard aCUPUnCtUrE POInt LOCat IOnS 181",,,Wood,,
GB,GB19,Naokong,"腦(脑,脳)空","On the head, at the same level as the supe- rior border of the external occipital protu-berance, directly superior to gB20. and BL9.",,,Wood,,
GB,GB20,Fengchi,風(风)池,"In the anterior region of the neck, inferior to the occipital bone, in the depression between the origins of sternocleidomastoid and the trapezius muscles. GB20external occipital protuberance occipital bone trapezius musclesternoclei-domastoidmuscle gallbladder Meridian 182",,,Wood,,
GB,GB21,Jianjing,肩井,"In the posterior region of the neck, at the midpoint of the line connecting the spinous process of the seventh cervical vertebra (C7) with the lateral end of the acromion.",,,Wood,,
GB,GB22,Yuanye,淵(渊)液,"In the lateral thoracic region, in the fourth intercostal space, on the midaxillary line. GB21 GB22acromion midaxillary line WHO Standard aCUPUnCtUrE POInt LOCat IOnS 183",,,Wood,,
GB,GB23,Zhejin,輒(辄)筋,"In the lateral thoracic region, in the fourth intercostal space, 1 B-cun anterior to the midaxillary line.",,,Wood,,
GB,GB24,Riyue,日月,"In the anterior thoracic region, in the sev- enth intercostal space, 4 B-cun lateral to the anterior median line. the nipple, one rib inferior to Lr14. the intersection of the midclavicular line and the seventh intercostal space.GB23 GB24midaxillary line midclavicularline gallbladder Meridian 184",,,Wood,,
GB,GB25,Jingmen,京門(门),"On the lateral abdomen, inferior to the free extremity of the 12th rib. ject is lying on the side with the shoulder flexed. The free extremity of the 12th rib can be palpated below the inferior border of the costal arch posterior to the posterior axillary line.",,,Wood,,
GB,GB26,Daimai,"帶(带,帯)脈(脉)","On the lateral abdomen, inferior to the free extremity of the 11th rib, at the same level as the centre of umbilicus. ing the tenth rib, then searching for the free extremity of the 11th rib that is situated immediately below the inferior border of the costal arch. same level as CV8. GB25 GB26posterior axillary line WHO Standard aCUPUnCtUrE POInt LOCat IOnS 185",,,Wood,,
GB,GB27,Wushu,五樞(枢),"On the lower abdomen, 3 B-cun inferior to the centre of umbilicus, medial to the anterior superior iliac spine. the same level as CV4.",,,Wood,,
GB,GB28,Weidao,維(维)道(道),"On the lower abdomen, 0.5 B-cun medioin - ferior to the anterior superior iliac spine. gB27. GB27 GB28anterior superior iliac spine anterior superioriliac spine gallbladder Meridian 186","Cystitis, Diarrhea, Endometriosis, Leg Pain, Leg Paralysis, Lumbar Pain, Orchitis, Paralysis, Sciatica.",,Wood,,User Atlas PDF (CC/PD as provided)
GB,GB29,Juliao,居髎(髎),"In the buttock region, midpoint of the line connecting the anterior superior iliac spine and the prominence of the greater trochant-er.",,,Wood,,
GB,GB30,Huantiao,環(环)跳,"In the buttock region, at the junction of the lateral one third and medial two thirds of the line connecting the prominence of the greater trochanter with the sacral hiatus. subject is lying on the side with the thigh flexed. Remarks: Alternative location for GB30 - in the buttock region, at the junction of the lateral one third and medial two thirds of the distance between the prominence of the greater trochanter and the anterior superior iliac spine. GB29 GB30anterior superior iliac spine prominence of thegreater trochanter prominence of thegreater trochanter prominence of the greater trochanteranterior superioriliac spinesacral hiatus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 187",,,Wood,,
GB,GB31,Fengshi,風(风)市,"On the lateral aspect of the thigh, in the depression posterior to the iliotibial band where the tip of the middle finger rests, when standing up with the arms hanging alongside the thigh. iliotibial band when the knee is slightly flexed and the hip is abducted against resis - tance.",,,Wood,,
GB,GB32,Zhongdu,中瀆(渎),"On the lateral aspect of the thigh, posterior to the iliotibial band, 7 B-cun superior to the popliteal crease. GB31 GB32iliotibial band iliotibial band poplitealcrease gallbladder Meridian 188",,,Wood,,
GB,GB33,Xiyangguan,"膝陽(阳)關(关,関)","On the lateral aspect of the knee, in the de - pression between the biceps femoris tendon and the iliotibial band, posterior and proxi-mal to the lateral epicondyle of the femur.",,,Wood,,
GB,GB34,Yanglingquan,陽(阳)陵泉,"On the fibular aspect of the leg, in the depression anterior and distal to the head of the fibula.GB33 GB34iliotibial band lateral epicondyleof the femurbiceps femoristendon head of theﬁbula WHO Standard aCUPUnCtUrE POInt LOCat IOnS 189",,,Wood,,
GB,GB35,Yangjiao,陽(阳)交,"On the fibular aspect of the leg, posterior to the fibula, 7 B-cun proximal to the promi - nence of the lateral malleolus. the midpoint of the line connecting the prominence of the lateral malleolus and the lateral end of the popliteal crease, posterior to gB36.",,,Wood,,
GB,GB36,Waiqiu,外丘(邱),"On the fibular aspect of the leg, anterior to the fibula, 7 B-cun proximal to the promi - nence of the lateral malleolus. the midpoint of the line connecting the prominence of the lateral malleolus and the lateral end of the popliteal crease, anterior to GB35.GB35 GB36ﬁbulapopliteal crease prominence of thelateral malleolus ﬁbula prominence of thelateral malleoluslateral end of thepopliteal crease gallbladder Meridian 190",,Xi-Cleft,Wood,,
GB,GB37,Guangming,光明,"On the fibular aspect of the leg, anterior to the fibula, 5 B-cun proximal to the promi - nence of the lateral malleolus.",,Luo,Wood,,
GB,GB38,Yangfu,陽(阳)輔(辅),"On the fibular aspect of the leg, anterior to the fibula, 4 B-cun proximal to the promi - nence of the lateral malleolus. GB37 GB38ﬁbula prominence of the lateral malleolus ﬁbula prominence of thelateral malleolus WHO Standard aCUPUnCtUrE POInt LOCat IOnS 191",,,Wood,,
GB,GB39,Xuanzhong,懸(悬)鍾(钟),"On the fibular aspect of the leg, anterior to the fibula, 3 B-cun proximal to the promi - nence of the lateral malleolus.",,,Wood,,
GB,GB40,Qiuxu,丘(坵)墟(墟),"On the anterolateral aspect of the ankle, in the depression lateral to the extensor digi-torum longus tendon, anterior and distal to the lateral malleolus. the extensor digitorum longus tendon when the second to fifth toes are extended against resistance.GB39 GB40ﬁbula prominence of the lateral malleolus extensordigitorumlongustendon lateralmalleolus gallbladder Meridian 192",,Source,Wood,,
